Municipality,Year,Budget,Adjusted Budget,Q1 – Sep,Q2 – Dec,Q3 – Mar,Q4 – Jun
NC075,2014,40000,40000,7289,14329,0,N/A
KZN216,2012,592905,3403900,259322,333139,166077,931756
LIM344,2014,2911000,2936000,389225,667110,404712,N/A
EC122,2013,1563096,1563096,279510,324000,331250,454340
FS203,2014,2428088,2428088,228225,154565,213730,N/A
EC444,2012,628800,628800,7600,158968,141226,131337
LIM474,2014,350000,500000,159124,120239,101591,N/A
EC133,2013,218000,75000,12922,28075,24213,10140
FS201,2014,854000,854000,246281,202251,171635,N/A
EC444,2013,667031,667031,103049,154732,213736,226552
NW383,2014,3421000,1791213,532689,362918,495619,N/A
LIM355,2012,0,1120000,150500,276519,96406,117136
WC045,2013,2200000,1200000,60498,113661,547468,197210
EC157,2012,1941710,1992174,184950,529600,583478,310150
NW384,2014,10550000,1602000,70000,196224,68086,N/A
MP312,2012,0,0,699990,453600,394350,236850
NC082,2012,461943,276525,85463,74990,64479,24528
NC083,2014,2054650,2054650,278179,106101,125783,N/A
FS163,2012,1210000,50000,57037,38556,44800,16750
MP314,2014,601054,5301156,63926,52843,55243,N/A
FS194,2014,3200000,3200000,168605,374770,166591,N/A
NC078,2014,7324000,7324000,43281,41098,29125,N/A
KZN252,2012,3313550,1265960,126810,397125,445663,493074
FS201,2012,946500,946500,138115,173726,231448,350245
LIM343,2013,6000000,3000000,794210,645850,269230,221550
LIM365,2012,152000,152000,506,71377,96,264
LIM355,2014,620000,7200000,219740,239695,225340,N/A
NC062,2014,250282,250282,48996,48879,87703,N/A
NC094,2012,138889,138889,129556,65267,76012,47055
NW392,2013,263027,263027,112107,68132,47958,174456
LIM472,2012,0,0,298930,253950,358330,141054
FS184,2012,1763000,2287000,691609,411987,540209,593268
KZN435,2014,450000,600000,144490,179234,160131,N/A
LIM354,2013,5689000,5689000,439110,615714,944892,626373
MAN,2013,5062882,4062882,1142899,727285,520002,1257761
EC104,2012,15360,733360,2980,78155,142663,190021
NC082,2013,365118,365118,25206,63941,43075,16173
MP305,2014,2577000,2704250,25527,111230,118720,N/A
WC041,2014,1591940,599000,18973,23809,91346,N/A
FS203,2012,1500000,1500000,183701,114301,216455,259849
FS196,2014,115000,115000,65850,48150,52130,N/A
KZN253,2012,179800,131500,32424,32424,29328,0
LIM333,2014,3210136,3210136,1258315,367161,1061274,N/A
MP322,2012,3741713,2161713,544697,533229,481308,1455645
WC013,2012,1160000,253000,67668,55288,634,262153
MP304,2013,107696,107696,57371,73675,98109,96945
EC157,2013,2140219,3396979,233038,399181,825715,582674
FS205,2012,262000,262000,21700,51120,12000,13300
FS193,2013,215000,101721,33356,51403,14051,19430
MP302,2012,1662780,1662780,103600,125706,57405,147005
KZN245,2012,933000,324400,86817,86641,167100,159000
NC077,2013,81000,81000,1579,18000,5050,950
FS191,2012,405000,405000,62235,91283,118554,114194
NC061,2013,10076,10076,1040,9670,4585,10840
MP325,2014,1003000,1003000,0,420460,2150,N/A
LIM475,2012,3301000,3301000,119250,259500,82600,0
NC072,2014,12600,1500000,28306,21758,297733,N/A
FS192,2012,0,0,126502,96714,82170,45750
NC062,2012,243927,243927,82521,35305,31573,10525
NW385,2013,2500000,2500000,132252,112950,219132,183893
LIM351,2014,897250,897250,161539,121665,116461,N/A
LIM367,2012,1307538,1307538,255926,229837,412774,384020
LIM352,2012,1500000,1500000,41535,97531,178025,259650
LIM472,2013,1150000,1150000,179835,180320,132300,243245
LIM367,2013,658141,658141,62779,219464,414906,275504
EC155,2012,150000,150000,267575,205770,136200,183750
KZN262,2014,374297,374297,23500,90050,58200,N/A
MP323,2013,306000,3004100,37896,47512,32514,121670
KZN435,2013,300000,500000,153312,127150,147510,129525
LIM351,2012,344800,2040000,95458,113284,76427,180510
EC131,2013,112200,112200,26759,44391,31663,9349
LIM474,2012,100000,200000,54600,63003,36794,30391
EC102,2013,200000,200000,28948,23988,28152,34085
EC109,2013,2752012,380012,58435,27050,135541,178910
NW372,2014,524775,524775,269281,317504,102312,N/A
FS191,2014,270000,270000,122378,73944,785319,N/A
NC452,2013,3573276,3573276,65757,61451,96978,4418336
EC133,2014,58697,58697,12151,14215,3497,N/A
MP311,2013,600000,600000,86348,48363,87180,42669
LIM353,2012,600000,600000,52700,68527,84025,129550
FS182,2012,81000,81000,16868,18193,66482,36544
NC062,2013,423924,256392,4317,29441,44955,53393
LIM471,2012,1020780,1020780,30300,75672,65280,4200
LIM366,2013,2000000,2000000,562130,40640,35088,3349638
FS194,2013,3051000,3051000,390416,204652,181217,161967
KZN253,2014,65530,65530,19783,20501,5418,N/A
FS183,2013,268100,82000,37970,28300,27700,34250
FS163,2014,3000000,500000,9390,20250,7250,N/A
NC065,2013,141890,141890,24035,12762,17238,21701
EC127,2014,300000,300000,19630,74999,36150,N/A
EC442,2014,800000,700000,161419,112789,47500,N/A
EC121,2014,635664,635664,0,147478,225850,N/A
MP312,2013,3090961,3090961,144178,225878,476541,393451
LIM334,2012,927000,926700,85130,84340,0,0
MP311,2012,0,0,80947,42211,91076,123215
NC453,2013,355300,355300,20833,23109,18905,51017
NC453,2012,363000,363000,24317,22899,35670,51394
MP304,2014,206000,164107,61842,45490,64675,N/A
EC156,2014,79125,697550,190637,102488,37850,N/A
KZN272,2014,387860,422861,80243,101200,82162,N/A
KZN253,2013,139390,62067,12790,18575,25036,40668
EC134,2013,801100,725600,148394,101480,80745,51202
EC133,2012,190000,190000,13900,11487,5888,4244
EC102,2014,105500,105500,27579,18695,17067,N/A
NC065,2012,101000,61500,19793,11124,20548,20702
NC067,2013,20000,20000,3400,6400,2300,2550
EC157,2014,3600798,0,423750,231150,569713,N/A
KZN234,2012,299000,299000,70400,42400,28124,55100
LIM342,2012,250000,250000,40640,46650,48500,52600
MAN,2012,6449009,4359009,352822,375073,829266,1327838
EC135,2014,1500000,1000000,123539,72820,80056,N/A
KZN235,2012,162000,242000,53650,65979,44750,50650
NC086,2013,31000,31000,0,9310,0,187
MP302,2014,990403,326300,47885,74152,47217,N/A
KZN435,2012,200000,300000,77959,89249,124495,121465
LIM342,2013,275000,275000,59780,45470,44580,38870
GT423,2014,500000,499602,59173,48725,51926,N/A
EC121,2013,601954,601954,87071,124593,225940,85449
MP303,2014,1167000,1190470,183070,83912,114911,N/A
FS196,2013,105000,105000,34700,23780,36160,35900
FS164,2014,7305,7305,15292,11316,32170,N/A
KZN234,2014,316655,267000,14060,37855,33455,N/A
EC134,2012,528830,300992,59615,86756,131714,101933
NC086,2014,11000,11000,156,8470,6440,N/A
EC123,2013,56135,56135,0,17650,200,1000
LIM332,2012,356000,356000,123785,96047,88055,74850
KZN216,2013,3359782,3323000,581868,115132,1589940,1357520
EC101,2013,401446,201546,24350,22690,22132,6736
NW393,2013,739182,0,8215,26578,13289,5400
FS195,2012,201000,110500,31568,21020,16650,26810
LIM364,2014,180500,180500,14187,15618,3147,N/A
NW372,2013,2505000,2505000,261742,208185,-47384,260042
KZN433,2014,1000000,300000,59270,28370,29850,N/A
NW382,2014,945802,945802,27206,53383,15201,N/A
EC144,2012,0,0,2157,14403,7595,2889
NC453,2014,371551,371551,43807,17603,17402,N/A
KZN432,2014,99514,99514,47540,5450,318910,N/A
LIM335,2012,0,131676,19904,39870,57020,25900
FS195,2013,1000,208500,32230,20006,28627,4833
NC065,2014,81000,46500,14570,8793,29370,N/A
LIM364,2013,180500,38000,6143,14408,6407,12932
LIM472,2014,1200000,672580,167680,100740,63350,N/A
LIM335,2014,210200,210200,53652,38300,55220,N/A
LIM361,2014,626886,229386,48659,34102,-68253,N/A
NC074,2012,12230,12230,2889,4641,9081,2534
EC124,2012,0,0,26993,48804,43102,63571
FS182,2014,80000,80000,32600,11450,9250,N/A
EC153,2014,743420,0,104320,109950,119070,N/A
FS183,2014,195000,195000,44950,18700,0,N/A
EC442,2013,863681,863681,79129,75150,76096,166762
EC441,2013,403000,483000,150661,78468,88755,82314
FS193,2012,212000,212000,44731,23158,24386,11053
GT423,2013,3817616,16640365,37096,38052,43457,49505
NC075,2013,0,0,1412,4172,2600,4161
FS183,2012,231100,70000,23940,18000,22860,31630
EC108,2014,2029024,2089044,149978,37097,56468,N/A
LIM342,2014,290125,190125,41360,34020,74620,N/A
FS161,2013,83371,83714,13690,14260,8660,11950
KZN235,2013,250000,181529,31450,48413,24266,46900
EC101,2012,242072,242072,20664,18580,37100,12280
MP306,2012,262000,262000,192025,15168,45610,30810
MP325,2012,840,840000,161000,193213,1413403,38136
EC126,2012,0,0,71800,25685,77250,71350
EC136,2014,100,110000,0,42369,5790,N/A
NW396,2013,17212000,3631600,14270,18770,5850,23278
NC076,2014,118648,20000,3300,5500,4600,N/A
EC155,2013,700000,700000,50243,101300,84044,40850
