Municipality,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014
KZN271,0.091650929,0.1293257452,0.1990608412,0.2190307268,0.162374949,0.2568012454,0.1352592895,0.1508268681,0.1566328093,0.3228358514,0.2683238056
KZN272,0.0465142465,0.0944493893,0.1566953706,0.5439459094,0.4505099141,0.2214078133,0.368274871,0.4264726384,0.4302527587,0.5426215268,0.4405421926
KZN273,0.0760394804,0,0,0,0.2327698678,0.1361393159,0.0934256055,0.394236769,0.9632707471,0.3400646662,14.199302286
KZN274,12.184469934,6.8343830379,2.4291275634,1.5954118874,1.3653806048,3.0847410497,0.6654153632,0.8622871046,0.4058394161,0.3027459159,0.2294056309
KZN275,0.2537836682,0.1316745048,0.4232407012,0.4543252102,0.6596266211,0.2238905515,0.5766794927,0.4817443352,0.0896451475,0.1077383497,0.0396237708
KZN281,0,0.0170885921,0.1249094711,0.1627484966,0.1814645737,0.0728299522,0.1009040679,0.133046896,0.1269438274,0.1729202776,0.1110758489
KZN282,1.5674238098,1.8647517334,3.0601149917,2.4665265399,8.1612365043,8.461031098,6.6041816785,7.9042662927,7.2995793206,6.2923587047,6.1262546381
KZN283,0,0,0,0,0,0,0,0,0,0,0
KZN284,2.6881475274,3.9203046802,2.784645203,2.1611462493,3.9774251993,3.7730722234,2.8259652342,2.6258538115,2.5448850895,3.9647286295,2.9247100903
KZN285,0.7486720482,4.4168304822,9.622966247,5.4881634531,15.0643272408,12.6056505918,12.3181647079,10.7941988373,23.0604374922,15.4962148145,12.5928311514
KZN286,0,0,0,0,0,0,0,0,0,0,0
KZN291,0.0116238648,0.2281681369,0.132577239,0.1070916439,0.0855386086,0.3372151972,0.1910514347,0.0496096409,0.1374005997,0.117650893,0.1370602123
KZN292,2.6007604234,4.2997789668,3.557436188,3.3978856943,1.3597607132,6.8129133559,5.0188332389,4.4888639932,-3.4727947506,3.6513990839,3.0468278926
KZN293,0,0,0,0,0,0,0,0,0,0,0
KZN294,0,0,0,0,0,0,0,0,0,0,0
KZN431,0.0646457413,0.0119345984,0.5211441302,0.1552492342,0.1243187333,0.1208378088,0.2511238413,0.551875721,0.2848390818,0.2368023233,0.992660222
KZN432,5.7528298961,1.5738874244,2.4538688169,2.7756241278,2.0080632656,1.6979376648,0.9342533726,1.413397426,3.6858427663,0.4225461312,24.7255388432
KZN433,12.0745972325,7.4308209939,9.6209817978,13.2742910838,6.6694806081,2.6011579091,0.790697322,1.1260817508,0.8982889014,0.4299722647,0.4524029645
KZN434,0.1017789185,2.5738659272,2.1679991346,0.2120246629,0.4655377565,0.2870362176,0.3456844755,0.3316812697,0.3166750253,0.221307687,0.1839690828
KZN435,0.4323801178,0.4949972823,0.6904804162,0.6736752781,0.8503067076,0.7052057104,0.8181273641,0.7183780546,0.8013776885,0.9940766048,0.8881265876
LIM331,0.2476936495,0.1157126654,0.075318262,0.1058484872,0.0468927225,0.1137881474,0.0427775298,0.0419544913,0.0303500575,0.0647620764,0.0184999406
LIM332,0.5819671746,0.4515587609,0.4139848896,0.3519024358,0.3158189195,0.2528667002,0.1688755577,0.2470369204,0.1717199261,0.3213195989,0.1413956681
LIM333,2.9665414835,4.3682077443,3.4486368705,1.2946128507,1.4613209603,1.4430254169,1.1281662159,2.3780796985,3.2256629795,0.9412091926,2.7205526859
LIM334,0.5651334002,0.5598890047,0,0,0,0.3409720055,2.861050074,0.719278796,4.779702198,3.0536986265,2.3234663462
LIM335,0.2098316413,0.4203168981,0.6011153631,0.2730425799,0.3050275678,0.317319755,0.7222977745,1.0799308433,0.5656092856,0.4037656683,0.5821394309
LIM341,1.2317324712,8.5936453137,6.1829459179,21.111294782,5.5097792536,1.7213534429,2.1562339999,6.1559414269,4.3073040858,2.4568820492,2.6521745491
LIM342,0.4423642103,0.5077827365,0.5279198868,0.5725481659,0.650702079,0.4949385001,0.485250898,0.4230978557,0.4502013715,0.370305867,0.8122346794
LIM343,1.8706840517,1.6502517535,1.7133146418,1.2463789206,1.2841694397,1.0442840466,0.4353218144,0.3582273446,0.1125857369,0.3125171797,0.2201105323
LIM344,3.0908433796,1.7154085704,0.8022735068,0.5420023216,0,0,0,0,0.754266701,1.2927711707,0.7842784639
