Municipality,Name,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Total,Population,Sep 2011P,Dec 2011P,Mar 2012P,Jun 2012P,Sep 2012P,Dec 2012P,Mar 2013P,Jun 2013P,Sep 2013P,Dec 2013P,Mar 2014P
LIM472,Ephraim Mogale,0.002021,0.002434,0.005552,0.007032,0.002186,0.002522,0.002162,0.00747,0.001899,0.001284,0.001194,0.002636,249363,1.1987744774,1.0183948701,1.4369814287,0.5656572948,0.7211775604,0.7231225162,0.5305518461,0.9754654861,0.6724333602,0.4039893649,0.2540473126
ETH,eThekwini,0.003356,0.003028,0.00382,0.003995,0.002814,0.003312,0.003168,0.010503,-0.007082,0.012932,0.002933,0.003726,3442361,5.3213285881,4.7943611957,5.9264347929,6.4510921429,5.034661966,6.114645152,5.3732746217,15.6934818864,-13.7232846875,23.4239767415,5.2091189739
KZN211,Ezingoleni,0,0,0,0,0,0,0,0,0,0,0,0,77403,0,0,0,0,0,0,0,0,0,0,0
LIM473,Fetakgomo,0,0,0,0,0,0,0,0.000553,0.00016,0.000088,0.000051,0.000048,274358,0,0,0,0,0,0,0,0.0285721575,0.0459253967,0.0207028773,0.0109346183
NC452,Ga-Segonyana,0.018141,0.014019,0.020645,0.02169,0.000958,0.001153,0.001684,0.110141,0.010747,0.009269,0.005359,0.016239,93651,11.3937598104,11.299932729,9.9587511078,9.7826077671,0.7021494698,0.6561702491,1.0355255149,47.1787380807,9.610255096,6.037009749,2.9690873562
NC453,Gamagara,0.000551,0.000524,0.000774,0.001363,0.00047,0.000382,0.000269,0.001083,0.000785,0.000178,0.0003,0.000539,41617,0.584304491,0.5502318764,0.8571016652,1.2349280342,0.5005887017,0.5552778912,0.4542614797,1.2258692361,1.0526227263,0.4229761876,0.4181464305
EC144,Gariep,0.000035,0.000406,0.000782,0.000474,0.000805,0.000244,0.000956,0.000852,0.000431,0.000639,0.000189,0.000396,33677,0.0640496481,0.4276806129,0.2255248389,0.085785551,0.3198028328,0.0867060605,0.343320367,0.3257416041,0.3202779345,0.2901386703,0.0811236155
WC044,George,0.009534,0.022504,0.024839,0.032183,0.009276,0.014779,0.031013,0.018038,0.008715,0.012214,0.019453,0.015416,193672,19.6203787847,17.3979615019,18.4370017349,22.3279462183,18.2562321864,15.9588221323,22.6222169441,23.4194204635,18.7686655789,13.2215085299,18.7373445826
MP307,Govan Mbeki,0.004651,0.007672,0.00862,0.009144,0.006108,0.005065,0.006413,0.008617,0.003906,0.00752,0.002086,0.00609,294538,5.0825190638,7.4399805798,9.6638837773,7.7995606679,6.8345001324,5.4252218729,7.3986752134,4.7056271177,5.174822943,9.0899815983,2.5596493492
EC123,Great Kei,0,0,0,0,0,0.001074,0.000014,0.000179,0.000412,0.000118,0,0.000204,38991,0,0,0,0,0,0.4526685645,0.0051293888,0.0256469442,0.2321048447,0.05514093,0
LIM332,Greater Giyani,0.001947,0.002057,0.002255,0.007741,0.001057,0.000983,0.000872,0.004678,0.000526,0.006347,0.002072,0.001713,212701,0.5819671746,0.4515587609,0.4139848896,0.3519024358,0.3158189195,0.2528667002,0.1688755577,0.2470369204,0.1717199261,0.3213195989,0.1413956681
KZN431,Greater Kokstad,0.000397,0.000042,0.001171,0.008613,0.000449,0.000598,0.00163,0.025761,0.000948,0.001264,0.006352,0.0015,100548,0.0646457413,0.0119345984,0.5211441302,0.1552492342,0.1243187333,0.1208378088,0.2511238413,0.551875721,0.2848390818,0.2368023233,0.992660222
LIM333,Greater Letaba,0.005538,0.008641,0.008107,0.004202,0.002544,0.003139,0.003685,0.005196,0.005315,0.002063,0.00564,0.004958,390095,2.9665414835,4.3682077443,3.4486368705,1.2946128507,1.4613209603,1.4430254169,1.1281662159,2.3780796985,3.2256629795,0.9412091926,2.7205526859
NW394,Greater Taung,0,0.000003,0,0,0.000004,0.000014,0.000002,0,0,0.000005,0,0.000002,177642,0,0.0005854471,0,0,0.000771214,0.0008838,0.0003321287,0,0,0.0003264994,0
LIM474,Greater Tubatse,0.00269,0.003707,0.002601,0.007832,0.001092,0.000354,0.00453,0.037475,0.005835,0.004728,0.005277,0.004276,93795,0.5821205821,0.6717095794,0.3922810384,0.3240151394,0.2767098459,0.0740977664,0.7476304707,1.5327895943,1.6965083427,1.281934005,1.083117437
LIM334,Greater Tzaneen,0.001484,0.000862,0,0,0,0.000672,0.006582,0.002437,0.008004,0.005903,0.004862,0.002822,150637,0.5651334002,0.5598890047,0,0,0,0.3409720055,2.861050074,0.719278796,4.779702198,3.0536986265,2.3234663462
NC065,Hantam,0.001014,0.001582,0.00264,0.002738,0.001745,0.001498,0.001901,0.002535,0.000926,0.000375,0.002968,0.001533,21578,0.9172768561,0.5155250718,0.9522661971,0.9594030957,1.1138659746,0.5914357216,0.7988692186,1.0057002503,0.675224766,0.407498378,1.3611085365
WC042,Hessequa,0.008771,0.006653,0.015623,0.018264,0.006503,0.001883,0.008895,0.013724,0.00565,0.014614,0.006682,0.008962,52642,17.2316591315,5.623171612,18.9779263706,13.0563808366,14.5370426656,1.6800083583,10.929903879,10.4569735192,13.1136544964,15.1522548535,6.813096007
KZN212,Hibiscus Coast,0.002967,0.053945,0.058543,0.067734,0.000782,0.099858,-0.02154,0.002657,0.003034,-0.016724,0.015435,0.00745,78875,2.7905166403,2.6710491284,3.0930586371,3.4570142631,0.7738700475,15.3108082409,-2.9921901743,0.0499524564,3.456659271,-2.4569635499,2.4529698891
KZN271,Hlabisa,0.000574,0.001151,0.001883,0.01825,0.000839,0.001846,0.001183,0.007366,0.000645,0.001947,0.001619,0.001462,156736,0.091650929,0.1293257452,0.1990608412,0.2190307268,0.162374949,0.2568012454,0.1352592895,0.1508268681,0.1566328093,0.3228358514,0.2683238056
EC103,Ikwezi,0,0,0,0,0,0,0,0,0,0,0,0,10537,0,0,0,0,0,0,0,0,0,0,0
KZN233,Imbabazane,0,0,0,0,0,0,0,0,0,0,0,0,103116,0,0,0,0,0,0,0,0,0,0,0
KZN221,Impendle,0.000394,0.000324,0.000365,0.001047,0.000007,0.00024,0.000396,0.000367,0.000376,0.000436,0.000269,0.00033,106374,0.1239964653,0.0730065618,0.0908210653,0.1067272078,0.0030364563,0.0770865061,0.1386993062,0.0702521293,0.1293173144,0.1262902589,0.0661063794
KZN234,Indaka,0.001164,0.000797,0.000458,0.001116,0.000112,0.000178,0.000051,0.000385,0.000152,0.000575,0.000451,0.00046,83153,0.8466321119,0.509903431,0.3382199079,0.6626339398,0.1052277128,0.1395620122,0.0318689644,0.2797253256,0.1690859019,0.4552451505,0.4023306435
EC153,Ingquza Hill,0,0,0,0,0,0,0.004691,0.005341,0.001782,0.002225,0.002952,0.00337,278481,0,0,0,0,0,0,5.5409525246,5.0622484119,0.3746036534,0.3948204725,0.4275695649
KZN432,Ingwe,0.004694,0.055368,0.002617,-0.010407,0.00395,0.002338,0.001464,0.001909,0.00368,0.000679,0.015392,0.006107,12898,5.7528298961,1.5738874244,2.4538688169,2.7756241278,2.0080632656,1.6979376648,0.9342533726,1.413397426,3.6858427663,0.4225461312,24.7255388432
